title,year,keywords,source,doi,keywords_cn
Built-Up Area Extraction in Semi-Arid Regions Using Sentinel-2A Imagery,2028,Multispectral image; Remote sensing; Extraction (chemistry); Focus (optics); Computer science; Multispectral pattern recognition; Statistical analysis; Artificial intelligence; Pattern recognition (psychology); Index (typography); Data mining,OpenAlex,https://doi.org/10.5281/zenodo.17968634,多光谱图像; 遥感; 萃取（化学）; 焦点（光学）; 计算机科学; 多光谱模式识别; 统计分析; 人工智能; 模式识别（心理学）; 索引（排版）; 数据挖掘
Built-Up Area Extraction in Semi-Arid Regions Using Sentinel-2A Imagery,2028,Multispectral image; Remote sensing; Extraction (chemistry); Focus (optics); Computer science; Multispectral pattern recognition; Statistical analysis; Artificial intelligence; Pattern recognition (psychology); Index (typography); Data mining,OpenAlex,https://doi.org/10.5281/zenodo.17968633,多光谱图像; 遥感; 萃取（化学）; 焦点（光学）; 计算机科学; 多光谱模式识别; 统计分析; 人工智能; 模式识别（心理学）; 索引（排版）; 数据挖掘
THE DEVELOPMENT OF TEXTILE-BASED CONDUCTIVE WEARABLES VIA DIRECT INK WRITING (DIW) 3D PRINTING TECHNOLOGY,2027,Wearable computer; Inkwell; 3D printing; Weaving; Fabrication; Textile; Wearable technology; Conductive ink; Nanotechnology; Key (lock); Computer science; Engineering; Electrical conductor; Yarn,OpenAlex,https://doi.org/10.7273/000007839,可穿戴计算机; 墨水瓶; 3D打印; 编织; 制造; 纺织; 可穿戴技术; 导电油墨; 纳米技术; 钥匙（锁）; 计算机科学; 工程; 导体; 纱线
"Reassessing Lowbury Hill, Oxfordshire: 1st -7th Centuries AD",2027,Context (archaeology); History; Archaeology; Value (mathematics); Point (geometry); Ancient history; Ethnology; Rural area; Historic site; Geography,OpenAlex,https://doi.org/10.48683/1926.00128656,背景（考古学）; 历史; 考古学; 价值（数学）; 点（几何）; 古代历史; 民族学; 农村地区; 历史地段; 地理
Community vulnerability to dust-related and industrial air pollution in Kuwait,2026,Vulnerability (computing); Environmental science; Geography; Air pollution; Population; Particulates; Vulnerability assessment; Resilience (materials science); Environmental resource management; Environmental planning; Environmental engineering; Psychological resilience; Environmental protection; Air quality index; Pollutant; Census,OpenAlex,https://doi.org/10.1080/19475705.2026.2636714,漏洞（计算）; 环境科学; 地理; 空气污染; 人口; 颗粒物; 脆弱性评估; 弹性（材料科学）; 环境资源管理; 环境规划; 环境工程; 心理弹性; 环境保护; 空气质量指数; 污染物; 人口普查
CCST-KFN: a novel unsupervised urban vegetation change detection approach for high-resolution RGB remote sensing imagery,2026,Multispectral image; Vegetation (pathology); RGB color model; Remote sensing; Change detection; Computer science; Discriminative model; Artificial intelligence; Environmental science; Impervious surface; Multispectral pattern recognition; Deep learning; Vegetation classification,OpenAlex,https://doi.org/10.1080/15481603.2026.2635763,多光谱图像; 植被（病理学）; RGB颜色模型; 遥感; 变化检测; 计算机科学; 判别式; 人工智能; 环境科学; 不透水表面; 多光谱模式识别; 深度学习; 植被分类
Adaptive volume coherence optimization for forest height inversion in mountainous areas using innovative spaceborne L-band bistatic InSAR,2026,Interferometric synthetic aperture radar; Remote sensing; Synthetic aperture radar; Bistatic radar; Terrain; Inversion (geology); Coherence (philosophical gambling strategy); Geology; Interferometry; Geodesy; Radar; Environmental science; Scattering,OpenAlex,https://doi.org/10.1080/15481603.2026.2637240,干涉合成孔径雷达; 遥感; 合成孔径雷达; 双基地雷达; 地形; 反演（地质）; 连贯性（哲学赌博策略）; 地质学; 干涉测量; 大地测量学; 雷达; 环境科学; 散射
Four decades of suspended particulate matter concentrations in the Po River revealed by landsat satellites,2026,Particulates; Environmental science; Watershed; Multispectral image; Water quality; Satellite; Hydrology (agriculture); Remote sensing; Satellite imagery; Sediment; Discharge; Multispectral pattern recognition; Seasonality; Spatial variability,OpenAlex,https://doi.org/10.1080/22797254.2026.2637440,颗粒物; 环境科学; 分水岭; 多光谱图像; 水质; 卫星; 水文学（农业）; 遥感; 卫星图像; 沉积物; 排放; 多光谱模式识别; 季节性; 空间变异性
Integrating multi-dimensional features for remote sensing–based drought monitoring and driver analysis during the vegetation growing season: a case study in northern Xinjiang,2026,Environmental science; Vegetation (pathology); Arid; Normalized Difference Vegetation Index; Evapotranspiration; Grassland; Precipitation; Climate change; Water content; Physical geography; Hydrology (agriculture); Enhanced vegetation index; Loess,OpenAlex,https://doi.org/10.1080/19475705.2026.2634962,环境科学; 植被（病理学）; 干旱的; 归一化植被指数; 蒸散发; 草原; 降水; 气候变化; 含水量; 自然地理学; 水文学（农业）; 增强植被指数; 黄土
Quantifying systematic biases in satellite-based crop condition monitoring induced by inter-annual planting dynamics,2026,Crop; Environmental science; Normalized Difference Vegetation Index; Vegetation (pathology); Cropping; Crop yield; Satellite; Anomaly (physics); Remote sensing; Condition index; Agricultural engineering; Sowing; Crop loss; Crop rotation; Anomaly detection; Crop simulation model; Crop production,OpenAlex,https://doi.org/10.1080/17538947.2026.2633927,作物; 环境科学; 归一化植被指数; 植被（病理学）; 裁剪; 作物产量; 卫星; 异常（物理学）; 遥感; 条件索引; 农业工程; 播种; 作物损失; 轮作; 异常检测; 作物模拟模型; 作物生产
Impact of Land-Use Change on Mangrove Forest Degradation,2026,Mangrove; Environmental degradation; Incentive; Environmental resource management; Environmental science; Forest degradation; Corporate governance; Remote sensing; Business; Environmental planning; Geographic information system; Degradation (telecommunications); Ecosystem services; Geography; Environmental protection; Environmental governance,OpenAlex,https://doi.org/10.5281/zenodo.18364974,红树林; 环境退化; 激励; 环境资源管理; 环境科学; 森林退化; 公司治理; 遥感; 商业; 环境规划; 地理信息系统; 退化（电信）; 生态系统服务; 地理; 环境保护; 环境治理
Impact of Land-Use Change on Mangrove Forest Degradation,2026,Mangrove; Environmental degradation; Incentive; Environmental resource management; Environmental science; Forest degradation; Corporate governance; Remote sensing; Business; Environmental planning; Geographic information system; Degradation (telecommunications); Ecosystem services; Geography; Environmental protection; Environmental governance,OpenAlex,https://doi.org/10.5281/zenodo.18364973,红树林; 环境退化; 激励; 环境资源管理; 环境科学; 森林退化; 公司治理; 遥感; 商业; 环境规划; 地理信息系统; 退化（电信）; 生态系统服务; 地理; 环境保护; 环境治理
MKS-YOLO: A Multi-kernel Dynamic Selection Network for Object Detection in Remote Sensing Images,2026,Remote sensing; Object detection; Computer science; Selection (genetic algorithm); Artificial intelligence; Computer vision; Object (grammar); Remote sensing application,OpenAlex,https://doi.org/10.1007/s42235-026-00856-3,遥感; 目标检测; 计算机科学; 选择（遗传算法）; 人工智能; 计算机视觉; 对象（语法）; 遥感应用
FATSNet: transformer-based skip network with frequency attention for remote sensing image super-resolution,2026,Remote sensing; Computer science; Computational intelligence; Image (mathematics); Computer vision; Artificial intelligence; Remote sensing application; Environmental science; Image processing,OpenAlex,https://doi.org/10.1007/s40747-026-02245-z,遥感; 计算机科学; 计算智能; 图像（数学）; 计算机视觉; 人工智能; 遥感应用; 环境科学; 图像处理
