title,year,keywords,source,doi
Built-Up Area Extraction in Semi-Arid Regions Using Sentinel-2A Imagery,2028,Multispectral image; Remote sensing; Extraction (chemistry); Focus (optics); Computer science; Multispectral pattern recognition; Statistical analysis; Artificial intelligence; Pattern recognition (psychology); Index (typography); Data mining,OpenAlex,https://doi.org/10.5281/zenodo.17968634
Built-Up Area Extraction in Semi-Arid Regions Using Sentinel-2A Imagery,2028,Multispectral image; Remote sensing; Extraction (chemistry); Focus (optics); Computer science; Multispectral pattern recognition; Statistical analysis; Artificial intelligence; Pattern recognition (psychology); Index (typography); Data mining,OpenAlex,https://doi.org/10.5281/zenodo.17968633
THE DEVELOPMENT OF TEXTILE-BASED CONDUCTIVE WEARABLES VIA DIRECT INK WRITING (DIW) 3D PRINTING TECHNOLOGY,2027,Wearable computer; Inkwell; 3D printing; Weaving; Fabrication; Textile; Wearable technology; Conductive ink; Nanotechnology; Key (lock); Computer science; Engineering; Electrical conductor; Yarn,OpenAlex,https://doi.org/10.7273/000007839
"Reassessing Lowbury Hill, Oxfordshire: 1st -7th Centuries AD",2027,Context (archaeology); History; Archaeology; Value (mathematics); Point (geometry); Ancient history; Ethnology; Rural area; Historic site; Geography,OpenAlex,https://doi.org/10.48683/1926.00128656
Community vulnerability to dust-related and industrial air pollution in Kuwait,2026,Vulnerability (computing); Environmental science; Geography; Air pollution; Population; Particulates; Vulnerability assessment; Resilience (materials science); Environmental resource management; Environmental planning; Environmental engineering; Psychological resilience; Environmental protection; Air quality index; Pollutant; Census,OpenAlex,https://doi.org/10.1080/19475705.2026.2636714
CCST-KFN: a novel unsupervised urban vegetation change detection approach for high-resolution RGB remote sensing imagery,2026,Multispectral image; Vegetation (pathology); RGB color model; Remote sensing; Change detection; Computer science; Discriminative model; Artificial intelligence; Environmental science; Impervious surface; Multispectral pattern recognition; Deep learning; Vegetation classification,OpenAlex,https://doi.org/10.1080/15481603.2026.2635763
Adaptive volume coherence optimization for forest height inversion in mountainous areas using innovative spaceborne L-band bistatic InSAR,2026,Interferometric synthetic aperture radar; Remote sensing; Synthetic aperture radar; Bistatic radar; Terrain; Inversion (geology); Coherence (philosophical gambling strategy); Geology; Interferometry; Geodesy; Radar; Environmental science; Scattering,OpenAlex,https://doi.org/10.1080/15481603.2026.2637240
Four decades of suspended particulate matter concentrations in the Po River revealed by landsat satellites,2026,Particulates; Environmental science; Watershed; Multispectral image; Water quality; Satellite; Hydrology (agriculture); Remote sensing; Satellite imagery; Sediment; Discharge; Multispectral pattern recognition; Seasonality; Spatial variability,OpenAlex,https://doi.org/10.1080/22797254.2026.2637440
Integrating multi-dimensional features for remote sensing–based drought monitoring and driver analysis during the vegetation growing season: a case study in northern Xinjiang,2026,Environmental science; Vegetation (pathology); Arid; Normalized Difference Vegetation Index; Evapotranspiration; Grassland; Precipitation; Climate change; Water content; Physical geography; Hydrology (agriculture); Enhanced vegetation index; Loess,OpenAlex,https://doi.org/10.1080/19475705.2026.2634962
Quantifying systematic biases in satellite-based crop condition monitoring induced by inter-annual planting dynamics,2026,Crop; Environmental science; Normalized Difference Vegetation Index; Vegetation (pathology); Cropping; Crop yield; Satellite; Anomaly (physics); Remote sensing; Condition index; Agricultural engineering; Sowing; Crop loss; Crop rotation; Anomaly detection; Crop simulation model; Crop production,OpenAlex,https://doi.org/10.1080/17538947.2026.2633927
Impact of Land-Use Change on Mangrove Forest Degradation,2026,Mangrove; Environmental degradation; Incentive; Environmental resource management; Environmental science; Forest degradation; Corporate governance; Remote sensing; Business; Environmental planning; Geographic information system; Degradation (telecommunications); Ecosystem services; Geography; Environmental protection; Environmental governance,OpenAlex,https://doi.org/10.5281/zenodo.18364974
Impact of Land-Use Change on Mangrove Forest Degradation,2026,Mangrove; Environmental degradation; Incentive; Environmental resource management; Environmental science; Forest degradation; Corporate governance; Remote sensing; Business; Environmental planning; Geographic information system; Degradation (telecommunications); Ecosystem services; Geography; Environmental protection; Environmental governance,OpenAlex,https://doi.org/10.5281/zenodo.18364973
MKS-YOLO: A Multi-kernel Dynamic Selection Network for Object Detection in Remote Sensing Images,2026,Remote sensing; Object detection; Computer science; Selection (genetic algorithm); Artificial intelligence; Computer vision; Object (grammar); Remote sensing application,OpenAlex,https://doi.org/10.1007/s42235-026-00856-3
FATSNet: transformer-based skip network with frequency attention for remote sensing image super-resolution,2026,Remote sensing; Computer science; Computational intelligence; Image (mathematics); Computer vision; Artificial intelligence; Remote sensing application; Environmental science; Image processing,OpenAlex,https://doi.org/10.1007/s40747-026-02245-z
Panel Dataset: Urban Evolution Analysis of Taichung City (2018–2025),2026,Geography; Remote sensing; Sampling (signal processing); Regional science; Urban planning; Physical geography; Urban heat island,OpenAlex,https://doi.org/10.5281/zenodo.18864449
Innovations for sustainable crop protection: application of microwaves for stubble and soilborne disease management,2026,Cropping; Agriculture; Sustainability; Agricultural engineering; Agroforestry; Cropping system; Disease management; Emerging technologies; Biology; Biotechnology; Sustainable agriculture; Environmental resource management; Plant disease; Web application; Crop yield; Agronomy; Risk analysis (engineering); Intercropping; Sustainable management,OpenAlex,https://doi.org/10.1007/s10658-026-03182-w
CNN-transformer collaborative learning for remote sensing semantic segmentation,2026,Remote sensing; Computer science; Segmentation; Collaborative learning; Remote sensing application; Artificial intelligence,OpenAlex,https://doi.org/10.1117/12.3096292
Seasonal biases in glacier surface flow velocities measured from optical remote sensing images,2026,Glacier; Geology; Remote sensing; Amplitude; Satellite; Scale (ratio); GNSS applications; Glacier terminus; Geodesy; Synthetic aperture radar; Flow (mathematics); Surface (topology); Climatology; Flow velocity; Environmental science; Satellite imagery; Optical flow,OpenAlex,https://doi.org/10.5194/egusphere-2026-946
Study on the Variation Characteristics and Influencing Factors of Hydrological Connectivity in Zoige Wetland,2026,Wetland; Environmental science; Hydrology (agriculture); Ecosystem; Landscape ecology; Disturbance (geology); Landscape connectivity; Habitat; Ecohydrology; Vegetation (pathology); Flooding (psychology); Surface runoff; Precipitation; Ecology; Functional connectivity; Channel (broadcasting); Physical geography; Landform; Proxy (statistics); Restoration ecology; Water level; Functional ecology,OpenAlex,https://doi.org/10.3390/su18052515
"High-Accuracy Mangrove Extraction and Degradation Diagnosis Using Time-Series Remote Sensing and Deep Learning: A Case Study of the Largest Delta in the Northern Beibu Gulf, China",2026,Mangrove; Environmental science; Remote sensing; Ecosystem; Delta; Normalized Difference Vegetation Index; Habitat; Vegetation (pathology); Canopy; Digital elevation model; River delta; Biodiversity; Hydrology (agriculture),OpenAlex,https://doi.org/10.3390/w18050617
Spatio-temporal analysis of land use and land cover changes: assessing urban expansion and ecological transformations (2003–2023),2026,"Urbanization; Land use; Wetland; Land cover; Land reclamation; Environmental resource management; Land development; Environmental science; Land use, land-use change and forestry; Sustainable development; Geography; Remote sensing; Agriculture; Urban planning; Urban climate; Sustainability; Satellite imagery; Physical geography; Human geography; Geomatics; Climate change; Environmental planning; Land management; Geographic information system; Agricultural land",OpenAlex,https://doi.org/10.1007/s10708-026-11571-1
A Special Focus on Natural Disasters in the Field of Earth Sciences,2026,Natural disaster; Resilience (materials science); Field (mathematics); Warning system; Emergency management; Earth observation; Natural (archaeology); Environmental resource management; Geography; Data science; Focus (optics); Psychological resilience; Disaster research; Natural hazard; Big data; Engineering; Risk management,OpenAlex,https://doi.org/10.4018/979-8-3373-6274-8.ch010
Piecing together protection measures for environmental defenders in the Philippines,2026,Human rights; Witness; Commission; Political science; Law; Politics; Environmental law; Environmentalism; Opposition (politics); Legal doctrine; Environmental disaster; Principle of legality; Environmental ethics; International human rights law; Environmental impact assessment,OpenAlex,https://doi.org/10.3389/fenvs.2026.1758093
Synergistic Dynamic Optimization of Dry-Wet Edges in NDVI-LST/EVI-LST Feature Spaces and Surface Soil Moisture Monitoring Based on TVDI Crop Growth Periods in the Hetao Irrigation District,2026,Environmental science; Normalized Difference Vegetation Index; Irrigation; Water content; Evapotranspiration; Arid; Soil science; Moisture; Irrigation district; Vegetation (pathology); Dryness; Hydrology (agriculture); Remote sensing; Infiltration (HVAC); Soil water; Surface irrigation; DNS root zone,OpenAlex,https://doi.org/10.3390/agriculture16050590
Improve the estimation accuracy of daily surface all-wave net radiation from FY3D MERSI-II data based on Pesudo-label learning method,2026,Robustness (evolution); Estimation; Satellite; Computer science; Thermal infrared; Remote sensing; Environmental science; Generalization; Mean squared error; Earth's energy budget; Training set,OpenAlex,https://doi.org/10.5281/zenodo.18860061
Integrating GIS and Remote Sensing in Early Warning Systems for Real-Time Disaster Preparedness,2026,Remote sensing; Warning system; Preparedness; Emergency management; Geographic information system; Flood myth; Hydrometeorology; Environmental resource management; Computer science; Earth observation; Decision support system; Early warning system; Sustainability; Environmental planning; Digital Earth; Geography; Geomatics; Corporate governance; Information system; Climate change; The Internet; Resilience (materials science); Data science; Data sharing; Cyberinfrastructure,OpenAlex,https://doi.org/10.4018/979-8-3373-6274-8.ch009
Small object detection algorithm for remote sensing images based on multiscale feature fusion,2026,Remote sensing; Computer science; Artificial intelligence; Feature (linguistics); Computer vision; Object detection; Fusion; Image fusion; Sensor fusion; Algorithm; Object (grammar); Pattern recognition (psychology),OpenAlex,https://doi.org/10.1117/12.3095646
MODE-GAN: Multi-order dual-edge generative adversarial network for remote sensing image super-resolution,2026,Remote sensing; Computer science; Artificial intelligence; Adversarial system; Key (lock); Computer vision; Image (mathematics); Remote sensing application; Generative adversarial network; Image processing,OpenAlex,https://doi.org/10.1007/s44443-026-00614-9
"Global patterns, supply-chain flows, and driving factors of forest loss footprints from 2001 to 2022",2026,Deforestation (computer science); Natural resource economics; Global warming; Climate change; Environmental resource management; Business; Population; China; Commodity; Geography; Forest degradation,OpenAlex,https://doi.org/10.21203/rs.3.rs-8944281/v1
"Mapping Flood-Prone Areas and Crop Damage Assessment Using Remote Sensing and GIS: A Comparative Analysis of the 2010 and 2022 Floods in Sindh, Pakistan",2026,Remote sensing; Environmental science; Geography; Crop; Remote sensing application; Flood myth; Water resource management,OpenAlex,https://doi.org/10.1007/s12524-026-02441-x
What Is the Importance of Wetlands in Reducing Disaster Risks?,2026,Wetland; Environmental planning; Flood myth; Environmental resource management; Climate change; Resilience (materials science); Flooding (psychology); Psychological resilience; Stakeholder; Natural disaster; Ecosystem services; Adaptation (eye); Stakeholder engagement; Geography; Business; Natural (archaeology); Ecosystem; Natural hazard; Natural resource; Vulnerability (computing),OpenAlex,https://doi.org/10.4018/979-8-3373-6274-8.ch003
CARTOGRAPHIC ANALYSIS OF THE SPATIAL–ECOLOGICAL STRUCTURE OF ZOOPLANKTON DEVELOPMENT IN NATURAL LAKE ECOSYSTEMS USING GIS (A CASE STUDY OF THE FERGANA VALLEY),2026,Zooplankton; Environmental science; Thematic map; Ecosystem; Lake ecosystem; Geographic information system; Trophic level; Bioindicator; Geography; Biomass (ecology); Ecology; Water quality; Plankton; Remote sensing; Zoning; Natural (archaeology),OpenAlex,https://doi.org/10.5281/zenodo.18859517
Investigating image quality impact on remote sensing object detection,2026,Remote sensing; Computer vision; Computer science; Object detection; Artificial intelligence; Quality (philosophy); Object (grammar); Image quality; Image processing; Environmental science; Remote sensing application,OpenAlex,https://doi.org/10.1117/12.3094817
River Network Routing and Discharge Partitioning on a Multichannel River Network,2026,Hydrograph; Routing (electronic design automation); Flow routing; Environmental science; Streamflow; Computer science; Discharge; Hydrology (agriculture); Network topology; Surface runoff; Metrics; Floodplain; Representation (politics); Flow network; Main river,OpenAlex,https://doi.org/10.17615/b6q6-3e93
