英文关键词,中文关键词
Historical heritage,历史遗产
Total organic carbon,总有机碳
Commodity,商品
Environmental governance,环境治理
Location,位置
Land development,土地开发
Identification (biology),鉴定（生物学）
Interferometry,干涉测量
Redevelopment,重新开发
Distribution (mathematics),分布（数学）
Supreme court,最高法院
Nerve net,神经网
Astrobiology,天体生物学
Atmospheric carbon cycle,大气碳循环
Flammable liquid,易燃液体
Interference (communication),干扰（通信）
Impact assessment,影响评估
Channel (broadcasting),频道（广播）
Proteomics,蛋白质组学
Statistics,统计
Radiance,光辉
Vocational education,职业教育
Information integration,信息整合
Reference data,参考数据
Citizen journalism,公民新闻
Precipitable water,可降水
Emergency response,应急响应
Control theory (sociology),控制论（社会学）
Space (punctuation),空格（标点符号）
Opposition (politics),反对党（政治）
Landscape architecture,景观建筑
Cysteine,半胱氨酸
Multispectral pattern recognition,多光谱模式识别
Discriminator,判别器
Health psychology,健康心理学
Resilience (materials science),弹性（材料科学）
Aerosol,气溶胶
Zooplankton,浮游动物
Risk management,风险管理
Graph,图
Malaria,疟疾
Semantics (computer science),语义学（计算机科学）
State (computer science),国家（计算机科学）
Smartphone app,智能手机应用
Ubiquitous computing,普适计算
Negotiation,谈判
Chromodomain,克罗莫结构域
Afforestation,植树造林
Complex network,复杂网络
Biotechnology,生物技术
Equity (law),衡平法
Generalization,泛化
Degeneracy (biology),退化（生物学）
Photic zone,光区
Tower,塔
Interface (matter),接口（事项）
Margin (machine learning),Margin（机器学习）
Nexus (standard),Nexus（标准）
Water resource management,水资源管理
Annotation,标注
Spectral line,谱线
Mediterranean Basin,地中海盆地
Stochastic optimization,随机优化
Drug discovery,药物发现
Urban ecosystem,城市生态系统
Natural language,自然语言
Arable land,可耕地
Transition (genetics),转变（遗传学）
Cover (algebra),封面（代数）
Box counting,盒维数法
Sanitary sewer,下水道
Partition (number theory),划分（数论）
Wastewater,废水
Deposition (geology),沉积（地质）
Geophysics,地球物理学
Zoning,分区
Men who have sex with men,与男性发生性关系的男性
Chromatin,染色质
Digital library,数字图书馆
Cultural landscape,文化景观
Cancer registry,癌症登记
Cryosphere,冰冻圈
Grid cell,网格单元
Environmental data,环境数据
Phenomenon,现象
Data access,数据访问
Groundwater,地下水
3D reconstruction,三维重建
Livelihood,生计
"Science, technology, society and environment education",科学、技术、社会与环境教育
Loess plateau,黄土高原
Offset (computer science),胶印（计算机科学）
Theoretical computer science,理论计算机科学
Oncology,肿瘤学
Data processing,数据处理
Ecology,生态学
Plan (archaeology),平面图（考古学）
Statistical physics,统计物理学
Web Coverage Service,网络覆盖服务
Operationalization,操作化
National accounts,国民账户
Stakeholder,利益相关者
Particulates,颗粒物
Chemotherapy,化疗
User story,用户故事
Key (lock),钥匙（锁）
Everyday life,日常生活
Public health,公共卫生
Relation (database),关系（数据库）
Hazard map,灾害地图
Incentive,激励
Geospatial PDF,地理空间PDF
Strategic planning,战略规划
Geological survey,地质调查
Plant litter,植物垃圾
Moderate-resolution imaging spectroradiometer,中分辨率成像光谱仪
Ontology,本体论
Deixis,指示语
Marketing,营销
Cancer incidence,癌症发病率
Epistemology,认识论
Socioeconomics,社会经济学
Landslide mitigation,滑坡缓解
Coordinate system,坐标系
Clinical trial,临床试验
Active learning (machine learning),主动学习（机器学习）
Calibration,校准
Hydrometeorology,水文气象
Field experiment,现场实验
Visual Objects,可视对象
Geovisualization,地理可视化
Revenue,收入
Raster graphics,光栅图形
Disconnection,断线
National Longitudinal Surveys,全国纵向调查
Development economics,发展经济学
Instrumental variable,工具变量
Reflectivity,反射率
Line (geometry),线条（几何图形）
Management science,管理科学
Digital divide,数字鸿沟
Codebase,代码库
Happiness,幸福
Variables,变量
Air pollution,空气污染
Economic impact analysis,经济影响分析
Linguistics,语言学
Volcanism,火山作用
Witness,见证
Domain (mathematical analysis),领域（数学分析）
Municipal solid waste,城市固体废物
Karl popper,卡尔波普尔
Construction engineering,建筑工程
Building automation,楼宇自动化
Class (philosophy),课程（哲学）
Surface (topology),曲面（拓扑）
Bureaucracy,官僚主义
Vegetation (pathology),植被（病理学）
Cognition,认知
Civil engineering,土木工程
Suicide prevention,自杀预防
Information flow,信息流
Medical education,医学教育
Regionalisation,区域化
Sequence analysis,序列分析
Downscaling,缩小规模
Adaptive capacity,适应能力
Climate change mitigation,气候变化减缓
Subsistence agriculture,自给农业
Philosophy,哲学
Climate risk,气候风险
Ecological succession,生态演替
Entrepreneurship,创业精神
Cohort,队列
Convolution (computer science),卷积（计算机科学）
Geospatial metadata,地理空间元数据
The Internet,互联网
Food security,粮食安全
Stochastic programming,随机规划
Sustainable development,可持续发展
Subspace topology,子空间拓扑
Transit (satellite),过境（卫星）
Online participation,在线参与
Treasure,宝藏
Mathematics,数学
Gravitation,引力
Storm surge,风暴潮
Metric (unit),公制（单位）
Vitality,活力
Cosmology,宇宙学
Product lifecycle,产品生命周期
Data pre-processing,数据预处理
Historical geology,历史地质学
Climate change,气候变化
Professional certification (computer technology),专业认证（计算机技术）
Metadata modeling,元数据建模
World heritage,世界遗产
Baseline (sea),基线（海）
Metastasis,转移
Magnetostratigraphy,磁性地层学
Lava,熔岩
Decision support system,决策支持系统
Foundation (evidence),基础（证据）
Earth observation,地球观测
Reef,礁
Adenocarcinoma,腺癌
Nonlinear programming,非线性规划
Clade,支序
Universal Soil Loss Equation,通用土壤流失方程
Decision system,决策系统
Machine learning,机器学习
