序号,关键词,出现次数,占比(%),累计占比(%)
1,计算机科学,117,2.3,2.3
2,地理,108,2.12,4.42
3,环境科学,78,1.53,5.95
4,空间分析,71,1.39,7.34
5,环境资源管理,64,1.26,8.6
6,遥感,61,1.2,9.8
7,地理信息系统,42,0.83,10.63
8,环境规划,41,0.81,11.44
9,气候变化,39,0.77,12.21
10,地质学,36,0.71,12.92
11,人工智能,35,0.69,13.61
12,商业,31,0.61,14.22
13,社会学,31,0.61,14.83
14,数据科学,31,0.61,15.44
15,土地利用,29,0.57,16.01
16,数据挖掘,26,0.51,16.52
17,城市规划,24,0.47,16.99
18,政治学,23,0.45,17.44
19,历史,22,0.43,17.87
20,生态学,22,0.43,18.3
21,生态系统服务,21,0.41,18.71
22,水文学（农业）,21,0.41,19.12
23,生物多样性,21,0.41,19.53
24,生态系统,21,0.41,19.94
25,可持续性,19,0.37,20.31
26,全球变暖,18,0.35,20.66
27,土地覆盖,18,0.35,21.01
28,弹性（材料科学）,18,0.35,21.36
29,领域（数学）,18,0.35,21.71
30,公司治理,17,0.33,22.04
31,可持续发展,16,0.31,22.35
32,自然地理学,16,0.31,22.66
33,农林复合系统,16,0.31,22.97
34,城市化,15,0.29,23.26
35,制图学,15,0.29,23.55
36,工程,15,0.29,23.84
37,植被（病理学）,15,0.29,24.13
38,温室气体,14,0.28,24.41
39,农业,14,0.28,24.69
40,区域科学,14,0.28,24.97
41,人口,14,0.28,25.25
42,生物学,14,0.28,25.53
43,医学,14,0.28,25.81
44,工作流程,14,0.28,26.09
45,政府（语言学）,14,0.28,26.37
46,环境保护,13,0.26,26.63
47,背景（考古学）,13,0.26,26.89
48,认识论,13,0.26,27.15
49,自然（考古学）,13,0.26,27.41
50,法律,13,0.26,27.67
51,政治,13,0.26,27.93
52,钥匙（锁）,12,0.24,28.17
53,公共行政,12,0.24,28.41
54,卫星图像,12,0.24,28.65
55,大洪水,12,0.24,28.89
56,心理学,12,0.24,29.13
57,特征（语言学）,12,0.24,29.37
58,漏洞（计算）,12,0.24,29.61
59,元数据,11,0.22,29.83
60,资源（消歧义）,11,0.22,30.05
61,代理（哲学）,11,0.22,30.27
62,红树林,11,0.22,30.49
63,代码（集合论）,11,0.22,30.71
64,卫星,11,0.22,30.93
65,水资源管理,11,0.22,31.15
66,计算机视觉,11,0.22,31.37
67,公民新闻,11,0.22,31.59
68,万维网,11,0.22,31.81
69,公共卫生,10,0.2,32.01
70,公民科学,10,0.2,32.21
71,鉴定（生物学）,10,0.2,32.41
72,气象学,10,0.2,32.61
73,信息检索,10,0.2,32.81
74,机器学习,10,0.2,33.01
75,心理弹性,10,0.2,33.21
76,航程（航空）,10,0.2,33.41
77,气候变化减缓,10,0.2,33.61
78,人类住区,10,0.2,33.81
79,理论物理学,10,0.2,34.01
80,生物量（生态学）,10,0.2,34.21
81,工作（物理）,10,0.2,34.41
82,信息系统,10,0.2,34.61
83,湿地,10,0.2,34.81
84,模式识别（心理学）,10,0.2,35.01
85,疾病,9,0.18,35.19
86,可视化,9,0.18,35.37
87,风险分析（工程）,9,0.18,35.55
88,数据文件,9,0.18,35.73
89,干预（咨询）,9,0.18,35.91
90,数据库,9,0.18,36.09
91,统计分析,9,0.18,36.27
92,考古学,9,0.18,36.45
93,都会区,9,0.18,36.63
94,知识管理,9,0.18,36.81
95,对象（语法）,9,0.18,36.99
96,流域,8,0.16,37.15
97,公共关系,8,0.16,37.31
